source,target,importance
KPNB1,THOC7,0.8994427919387817
TTK,THOC7,0.8975296020507812
NUP133,THOC7,0.8973110914230347
DCTN5,THOC7,0.8952946662902832
TMX2,THOC7,0.8948037624359131
NSL1,THOC7,0.8942247629165649
NUDC,THOC7,0.8924674987792969
BGLAP,THOC7,0.8923105001449585
SPC25,THOC7,0.8914321660995483
MED22,THOC7,0.8911247253417969
MIS18A,THOC7,0.8905707597732544
DYNC1H1,THOC7,0.8894063234329224
PELO,THOC7,0.8893522024154663
GTF3C2,THOC7,0.8892594575881958
TRIM24,THOC7,0.8878766298294067
PSME3,THOC7,0.8871752023696899
BRIX1,THOC7,0.8870197534561157
HBS1L,THOC7,0.8870037198066711
RIOK1,LTV1,0.9937065839767456
C1orf131,LTV1,0.9930403232574463
RPS9,LTV1,0.9928231239318848
MPHOSPH10,LTV1,0.9927762746810913
DDX18,LTV1,0.9925627112388611
RPS15A,LTV1,0.9923748970031738
RPS19,LTV1,0.9920452237129211
RRP12,LTV1,0.9919397830963135
RPS3,LTV1,0.991931676864624
RPS10-NUDT3,LTV1,0.9916425943374634
RPS7,LTV1,0.9910081624984741
KRR1,LTV1,0.9908983111381531
PNO1,LTV1,0.9902995824813843
DIMT1,LTV1,0.9899758100509644
RPS23,LTV1,0.9895120859146118
AATF,LTV1,0.9889187812805176
RPS11,LTV1,0.9877648949623108
RIOK2,LTV1,0.9877426624298096
RPS5,LTV1,0.9874887466430664
RRP7A,LTV1,0.9868601560592651
BCAS2,SRRM1,0.9348361492156982
OPA1,SRRM1,0.931167721748352
MRPS26,SRRM1,0.9297993779182434
SDE2,SRRM1,0.9274088740348816
TOMM20,SRRM1,0.9271408915519714
LRPPRC,SRRM1,0.9261278510093689
MRPS10,SRRM1,0.9232906699180603
TFAM,SRRM1,0.9231734871864319
MRPS23,SRRM1,0.9230207204818726
MRPS18B,SRRM1,0.922533392906189
PNPT1,SRRM1,0.9212916493415833
MRPS15,SRRM1,0.9212642908096313
MTPAP,SRRM1,0.9208610653877258
TOMM22,SRRM1,0.9206075072288513
LETM1,SRRM1,0.9200575351715088
PRPF4B,SRRM1,0.9199936389923096
SLIRP,SRRM1,0.9199050664901733
MRPS22,SRRM1,0.9198403358459473
MRPS24,SRRM1,0.9198318123817444
PRPF19,SRRM1,0.9195331335067749
ZNF207,SNRPC,0.9780868291854858
SNRPG,SNRPC,0.975496232509613
INTS9,SNRPC,0.9735838174819946
CENPC,SNRPC,0.9685397148132324
HMBOX1,SNRPC,0.9679586887359619
CCNF,SNRPC,0.9664034843444824
DOHH,SNRPC,0.9659463167190552
DYNC1H1,SNRPC,0.965183436870575
BUB3,SNRPC,0.964451789855957
SNRNP70,SNRPC,0.9643917679786682
RUVBL1,SNRPC,0.9626321792602539
RSRC2,SNRPC,0.9621344804763794
PRPF39,SNRPC,0.9620064496994019
COPS8,SNRPC,0.9612003564834595
SYMPK,SNRPC,0.9604603052139282
ATR,SNRPC,0.9603840112686157
PAPOLA,SNRPC,0.9602988958358765
TTK,SNRPC,0.9596129655838013
SRSF11,SNRPC,0.9589686393737793
RAB5IF,SNRPC,0.9589346647262573
TAF8,FUNDC2,0.9967327117919922
TAF2,FUNDC2,0.9916675090789795
NKX6-1,FUNDC2,0.991270899772644
TAF1,FUNDC2,0.982513427734375
TAF12,FUNDC2,0.9726171493530273
EXOSC6,FUNDC2,0.9671691656112671
EXOSC3,FUNDC2,0.9642913341522217
MBNL1,FUNDC2,0.9638088941574097
EXOSC8,FUNDC2,0.9631134867668152
DPF2,FUNDC2,0.9621367454528809
POLR2F,FUNDC2,0.9619091749191284
NDUFAF8,FUNDC2,0.9617906808853149
POLR2H,FUNDC2,0.9611657857894897
ZNF706,FUNDC2,0.9609190225601196
NOL7,FUNDC2,0.960108757019043
EXOSC2,FUNDC2,0.9597358703613281
PSMD6,FUNDC2,0.9589688777923584
MED6,FUNDC2,0.9588866233825684
TAF7,FUNDC2,0.9577805995941162
POLR2E,FUNDC2,0.9572693109512329
TRA2B,TSEN2,0.9737005233764648
MRPS14,TSEN2,0.9734033346176147
SUPV3L1,TSEN2,0.9715844988822937
ACSS2,TSEN2,0.9604011178016663
MTIF3,TSEN2,0.9594975113868713
DNAJA3,TSEN2,0.959291934967041
LONP1,TSEN2,0.9587209224700928
HSD17B10,TSEN2,0.9508239030838013
CEBPG,TSEN2,0.9474627375602722
PNPT1,TSEN2,0.9400306940078735
LETM1,TSEN2,0.9389055967330933
SAMD4B,TSEN2,0.9387581944465637
ATP11B,TSEN2,0.9357481002807617
HSPE1,TSEN2,0.9345147013664246
SSBP1,TSEN2,0.9317328929901123
TTC1,TSEN2,0.9313682913780212
TOMM20,TSEN2,0.9304751753807068
VPS13D,TSEN2,0.9296291470527649
TOMM22,TSEN2,0.9292064309120178
TEFM,TSEN2,0.9292046427726746
CHKB,ELP5,0.9517438411712646
ELP3,ELP5,0.8978625535964966
ELP4,ELP5,0.8970062732696533
NR2C2AP,ELP5,0.8967818021774292
ELP2,ELP5,0.8920502066612244
SLC39A6,ELP5,0.890999436378479
PPIE,ELP5,0.8725549578666687
URM1,ELP5,0.8706195950508118
MRPS14,ELP5,0.8701878786087036
DNTTIP1,ELP5,0.8694601058959961
CWF19L2,ELP5,0.8612871766090393
RECQL4,ELP5,0.8568069934844971
PABPC4,ELP5,0.8501725196838379
GMIP,ELP5,0.8494459390640259
